YEAR	JANU	FEBR	MARC	APRI	MAY 	JUNE	JULY	AUGU	SEPT	OCTO	NOVE	DECE	YEAR
1994	0202	-0286	-0383	-0097	-0062	-0081	0309	-0031	-0265	-0050	0018	0157	-0576
1995	0256	0289	0095	0175	0631	0079	-0101	0214	0153	0185	0242	0228	2720
1996	0014	-0373	-0130	-0160	0005	0172	0010	-0070	0259	0361	0263	-0186	0140
1997	-0028	0028	-0221	0184	0128	0187	0528	-0240	0226	0191	0101	0163	1295
1998	0137	-0007	0038	0053	0167	0115	-0056	0089	0413	-0190	0270	0010	1076
1999	0123	-0401	0002	-0024	-0176	-0160	-0113	-0026	0093	0047	-0024	-0102	-0745
2000	-0021	0092	0169	-0115	-0161	0326	0179	0135	0046	0045	0263	0270	1287
2001	0359	0127	-0029	-0128	0132	0055	0361	0157	-0152	0437	-0188	-0090	1065
2002	0175	0130	-0295	0253	0113	0073	0094	0452	0330	-0240	0103	0361	1633
2003	0021	0264	-0080	0229	0471	-0143	-0881	0219	0503	-0203	0052	0139	0527
2004	0187	0178	0118	-0534	-0071	0093	0184	0395	0101	0164	-0200	0257	0872
2005	0277	-0112	-0125	0327	0295	0141	-0244	0233	-0310	-0204	0099	0225	0587
2006	-0093	0128	-0404	-0224	-0020	0039	0237	0361	0183	0127	0246	-0232	0324
2007	-0051	0287	-0231	0140	-0178	-0148	-0032	0152	0135	0088	0079	0028	0260
2008	0017	-0071	-0059	0091	-0277	-0061	-0109	0121	-0863	-0450	1174	1560	0878
2009	-0949	-0308	-0018	-0030	0489	0350	0565	0235	0273	0016	0044	-0275	0302
2010	0096	0039	0045	0357	-0051	0519	0170	0473	-0144	-0203	-0057	-0036	1244
2011	-0198	0157	-0072	0239	0257	-0210	0473	0240	0575	0094	-0356	0512	1795
2012	0194	0057	-0303	0251	0344	0064	0612	-0093	-0126	0206	-0092	-0062	1068
2013	-0313	0093	-0018	0349	-0536	-0371	0031	-0074	0014	0211	-0086	0002	-0707
2014	0331	0168	0062	0160	0188	0020	0024	0356	-0271	0225	0173	0183	1728
2015	0599	-0320	0058	-0223	-0204	-0320	0239	-0067	0133	0020	0020	0000	-0102
